"STATE","DISTRICT","DISTRICT_TOTAL","CONTRIBUTION_PCT"
"Uttar Pradesh","Chandauli","9404",".94"
"Assam","Charaideo","1182",".52"
"Nagaland","Chumukedima","182","1.18"
"Assam","Golaghat","11329","5.03"
"Telangana","Hyderabad","25631","19.86"
"Gujarat","Jamnagar","5967","2.17"
"Bihar","Jamui","10098","1.7"
"Assam","Kamrup","13412","5.95"
"Punjab","Ludhiana","17477","23.03"
"Uttar Pradesh","Maharajganj","17716","1.77"
"Gujarat","Mahesana","6313","2.3"
"Gujarat","Mahisagar","2506",".91"
"Bihar","Muzaffarpur","28298","4.77"
"Assam","Nagaon","12589","5.59"
"Uttarakhand","Nainital","3847","10.41"
"Madhya Pradesh","Panna","9300","1.9"
"Madhya Pradesh","Satna","13183","2.69"
"Uttar Pradesh","Shahjahanpur","24054","2.4"
"Madhya Pradesh","Sheopur","7191","1.47"
"Maharashtra","Solapur","12070","3.31"
"Meghalaya","South Garo Hills","4426","4.05"
"Assam","South Salmara Mankachar","1437",".64"
"Chhattisgarh","Sukma","2152","2.16"
"Maharashtra","Thane","43222","11.86"
"Karnataka","Yadgir","6141","2.8"
"Tamil Nadu","Coimbatore","8775","4.05"
"Uttar Pradesh","Deoria","10113","1.01"
"Jammu and Kashmir","Jammu","4449","9.56"
"Bihar","Katihar","15747","2.65"
"Uttar Pradesh","Lalitpur","4678",".47"
"Mizoram","Lunglei","700","12.1"
"Maharashtra","Nashik","22076","6.06"
"Madhya Pradesh","Ashoknagar","3011",".62"
"Telangana","Medchal Malkajgiri","704",".55"
"Delhi","New Delhi","1628","1.75"
"Delhi","North Delhi","4294","4.63"
"Bihar","Purbi Champaran","14871","2.5"
"Tamil Nadu","Vellore","9514","4.39"
"Andhra Pradesh","Visakhapatanam","226",".18"
"Chhattisgarh","Balrampur","6016","6.03"
"Odisha","Khordha","490",".42"
"Gujarat","Sabar Kantha","2432",".88"
"Gujarat","Surendranagar","1441",".52"
"Andhra Pradesh","Alluri Sitharama Raju","1214",".98"
"Odisha","Balangir","5105","4.37"
"Odisha","Baleswar","5869","5.02"
"Uttar Pradesh","Ballia","9724",".97"
"Rajasthan","Banswara","7164","2.09"
"West Bengal","Barddhaman","15505","4.2"
"Orissa","Bargarh","88","2.16"
"Odisha","Baudh","169",".14"
"Karnataka","Belgaum","6637","3.02"
"Haryana","Bhiwani","3320","3.49"
"Madhya Pradesh","Chhindwara","8866","1.81"
"Orissa","Dhenkanal","126","3.09"
"Punjab","Fazilka","1898","2.5"
"Uttar Pradesh","Hamirpur","3372",".34"
"Telangana","Hanumakonda","1003",".78"
"West  Bengal","Hooghly","15","100"
"Manipur","Imphal East","1116","8.42"
"Odisha","JAJPUR","2437","2.09"
"Chhattisgarh","Janjgir-champa","4475","4.49"
"Rajasthan","Jhunjhunun","7437","2.17"
"Haryana","Jind","3669","3.86"
"Telangana","Jogulamba Gadwal","1765","1.37"
"Tamil Nadu","Kanyakumari","1960",".9"
"Jammu &amp; Kashmir","Kargil","3","2.05"
"Andhra Pradesh","Khammam","1106",".89"
"Odisha","Khorda","4238","3.63"
"Chhattisgarh","Kondagaon","2959","2.97"
"Tamil Nadu","Krishnagiri","4946","2.28"
"Jammu and Kashmir","Leh","199",".43"
"Arunachal Pradesh","Lower Dibang Valley","103","2.43"
"Andhra Pradesh","Mahbubnagar","708",".57"
"Punjab","Mansa","1101","1.45"
"Uttar Pradesh","Mau","7384",".74"
"Arunachal Pradesh","Namsai","148","3.49"
"Chhattisgarh","Narayanpur","729",".73"
"Telangana","Nirmal","1369","1.06"
"Arunachal Pradesh","Papum Pare","434","10.24"
"Pondicherry","Pondicherry","1074","85.24"
"Rajasthan","Pratapgarh","3721","1.09"
"Odisha","Puri","3447","2.95"
"West Bengal","Puruliya","13051","3.53"
"Telangana","Rajanna Sircilla","866",".67"
"Rajasthan","Rajsamand","4398","1.28"
"Karnataka","Ramanagar","2913","1.33"
"Jharkhand","Ramgarh","2879","1.87"
"Maharashtra","Ratnagiri","2526",".69"
"Uttarakhand","Rudraprayag","939","2.54"
"Punjab","Rupnagar","1233","1.63"
"Madhya Pradesh","Seoni","6004","1.23"
"Madhya Pradesh","Sidhi","6255","1.28"
"Himachal Pradesh","Sirmaur","1526","9.02"
"Himachal Pradesh","Solan","1141","6.75"
"Uttar Pradesh","Sonbhadra","4920",".49"
"West Bengal","South 24 Parganas","33088","8.96"
"Andhra Pradesh","Srikakulam","4176","3.36"
"Chhattisgarh","Surguja","3438","3.45"
"Tamil Nadu","Thiruvarur","4102","1.89"
"Andhra Pradesh","Tirupati","1683","1.35"
"Karnataka","Tumakuru","2938","1.34"
"Karnataka","Tumkur","2895","1.32"
"Arunachal Pradesh","Upper Siang","41",".97"
"Andhra Pradesh","Y. S. R","787",".63"
"Haryana","Yamuna Nagar","3223","3.39"
"Dadra and Nagar Haveli and Daman and Diu","Daman","61","36.09"
"Nagaland","Shamator","247","1.6"
"Delhi","South East Delhi","56",".06"
"West Bangal","Howrah","4","40"
"Arunachal Pradesh","Lower Siang","31",".73"
"Daman &amp; Diu","Daman","9","42.86"
"Himachal Pradesh","Lahul &amp; Spiti","37",".22"
"Odisha","jajpur","17",".01"
"Daman and Diu","Diu","57","50.44"
"Arunachal Pradesh","Pakke Kessang","4",".09"
"Odisha","Jajpur","15",".01"
"Jammu &amp; Kashmir","Bandipur","2","1.37"
"Jharkhand","Bokaro *","2","0"
"Chhattisgarh","Mohalla-Manpur-Ambagarh Chowki","13",".01"
"Jammu &amp; Kashmir","Doda","2","1.37"
"Maharashtra","Aurangabad","17226","4.73"
"Uttar Pradesh","Bara Banki","8937",".89"
"Madhya Pradesh","Burhanpur","9689","1.98"
"Assam","Dhubri","12362","5.49"
"Assam","Dibrugarh","6886","3.06"
"Rajasthan","Dungarpur","6458","1.88"
"Meghalaya","East Jaintia Hills","5112","4.68"
"Haryana","Faridabad","15781","16.6"
"Gujarat","Gandhinagar","5436","1.98"
"Bihar","Gaya","26760","4.51"
"Maharashtra","Hingoli","8158","2.24"
"Assam","Jorhat","4744","2.11"
"Assam","Lakhimpur","7084","3.14"
"Gujarat","Morbi","7950","2.89"
"Bihar","Munger","5916","1"
"Maharashtra","Nagpur","11680","3.2"
"Nagaland","Noklak","342","2.21"
"West Bengal","North 24 Parganas","28220","7.64"
"Nagaland","Phek","1038","6.72"
"Chhattisgarh","Raipur","6820","6.84"
"Delhi","South West Delhi","9025","9.72"
"Meghalaya","South West Garo Hills","4935","4.52"
"Uttar Pradesh","Sultanpur","11198","1.12"
"Gujarat","Surendra Nagar","6697","2.43"
"Uttar Pradesh","Varanasi","23139","2.31"
"Sikkim","West Sikkim","493","22.65"
"Chhattisgarh","Baloda Bazar","4705","4.72"
"Manipur","Bishnupur","1107","8.35"
"Manipur","Imphal West","1220","9.2"
"West Bengal","Kalimpong","504",".14"
"Punjab","Patiala","5097","6.72"
"Mizoram","Saiha","640","11.06"
"Maharashtra","Sangli","7433","2.04"
"Bihar","Siwan","14874","2.51"
"Bihar","Banka","10693","1.8"
"Rajasthan","Barmer","15545","4.54"
"Rajasthan","Bhilwara","10950","3.19"
"Gujarat","Dohad","12936","4.7"
"Delhi","North East Delhi","11862","12.78"
"Assam","Sivasagar","422",".19"
"Uttar Pradesh","Barabanki","2359",".24"
"Telangana","Bhadradri Kothagudem","3131","2.43"
"Jharkhand","Dhanbad","10791","7.02"
"West Bengal","Dinajpur Dakshin","997",".27"
"Madhya Pradesh","East Nimar","3796",".78"
"Uttarakhand","Haridwar","5877","15.9"
"West Bengal","Howrah","11141","3.02"
"Rajasthan","Jalore","494",".14"
"Mizoram","Kolasib","273","4.72"
"Telangana","Ranga Reddy","284",".22"
"Uttar Pradesh","Sambhal","8563",".85"
"Tamil Nadu","Thiruvallur","598",".28"
"Arunachal Pradesh","West Kameng","273","6.44"
"Nagaland","Zunheboto","750","4.85"
"Andhra Pradesh","Adilabad","1395","1.12"
"Uttarakhand","Almora","1344","3.64"
"Andhra Pradesh","Ananthapuramu","3094","2.49"
"Jammu and Kashmir","Anantnag","3227","6.93"
"Andhra Pradesh","Annamayya","995",".8"
"Orissa","Anugul","50","1.23"
"Tamil Nadu","Ariyalur","2349","1.08"
"Punjab","Barnala","1001","1.32"
"Himachal Pradesh","Bilaspur","952","5.63"
"Odisha","Boudh","1395","1.19"
"Karnataka","Chamrajnagar","374",".17"
"Haryana","Charkhi Dadri","814",".86"
"Maharashtra","Chatrapati Sambhaji Nagar","211",".06"
"Karnataka","Chickmagalur","1197",".55"
"Andhra Pradesh","Cuddapah","5762","4.64"
"Odisha","Cuttack","4969","4.25"
"Dadra and Nagar Haveli and Daman and Diu","Dadra and Nagar Haveli","87","51.48"
"Chhattisgarh","Dakshin Bastar Dantewada","1172","1.17"
"Chhattisgarh","Dantewada","696",".7"
"Maharashtra","Dharashiv","143",".04"
"Sikkim","East","360","16.54"
"Arunachal Pradesh","East Kameng","179","4.22"
"West Bengal","East Midnapore","2069",".56"
"Tamil Nadu","Erode","5925","2.74"
"Rajasthan","Ganganagar","5405","1.58"
"Odisha","Ganjam","7562","6.47"
"Karnataka","Haveri","4155","1.89"
"West Bengal","Hugli","188",".05"
"Kerala","Idukki","1668","2.26"
"Punjab","Jalandhar","4041","5.33"
"Telangana","Jayashankar Bhupalpally","824",".64"
"Andhra Pradesh","Karim Nagar","81",".07"
"Orissa","Kendujhar","49","1.2"
"Bihar","Khagaria","7887","1.33"
"Orissa","Khordha","709","17.4"
"Karnataka","Kodagu","1195",".54"
"Telangana","Komaram Bheem","1080",".84"
"Odisha","Koraput","4337","3.71"
"Jammu and Kashmir","Kulgam","1154","2.48"
"Lakshadweep","Lakshadweep","199","100"
"Arunachal Pradesh","Lohit","157","3.7"
"Telangana","Mahabubabad","1450","1.12"
"Chhattisgarh","Mahasamund","3175","3.18"
"Telangana","Mancherial","1065",".83"
"Madhya Pradesh","Mauganj","423",".09"
"Tamil Nadu","Mayiladuthurai","493",".23"
"Chhattisgarh","Mohla-Manpur-Ambagarh Chouki","253",".25"
"Telangana","Mulugu","930",".72"
"Telangana","Narayanpet","1294","1"
"Madhya Pradesh","Niwari","138",".03"
"Andhra Pradesh","Nizamabad","498",".4"
"Delhi","North East","1697","1.83"
"West Bengal","North Twenty Four Parganas","1597",".43"
"Haryana","Panchkula","1335","1.4"
"West Bengal","Paschim Bardhaman","1266",".34"
"West Bengal","Paschim Medinipur","17757","4.81"
"Jharkhand","Pashchimi Singhbhum","576",".37"
"Uttarakhand","Pauri Garhwal","1809","4.9"
"Odisha","Sambalpur","2515","2.15"
"Himachal Pradesh","Shimla","1625","9.61"
"Jammu and Kashmir","Shupiyan","650","1.4"
"Telangana","Siddipet","1834","1.42"
"Jharkhand","Simdega","1989","1.29"
"Punjab","Sri Muktsar Sahib","1312","1.73"
"Orissa","Sundargarh","132","3.24"
"Tamil Nadu","Tenkasi","1228",".57"
"Tamil Nadu","Tirunelveli","9454","4.36"
"Jammu and Kashmir","Udhampur","2745","5.9"
"Madhya Pradesh","Umaria","5153","1.05"
"Karnataka","Uttara Kannada","3385","1.54"
"Tamil Nadu","Villupuram","6644","3.07"
"Telangana","Warangal","2869","2.22"
"Madhya Pradesh","West Nimar","752",".15"
"Telangana","Jangaon","77",".06"
"Himachal Pradesh","Kinnaur","160",".95"
"Telangana","Warangal (urban)","7",".01"
"Dadra and Nagar Haveli and Daman and Diu","Diu","21","12.43"
"Westbengal","Hooghly","6","100"
"Karnataka","Bengaluru South","196",".09"
"West Bengal","MALDA","15","0"
"Maharashtra","Raigarh(MH)","85",".02"
"West bengal","hooghly","7","100"
"andhra pradesh","rangareddi","1","20"
"Uttar Pradesh","Mahrajganj","18","0"
"ODISHA","NUAPADA","1","100"
"Telangana","Medchal?malkajgiri","2","0"
"Jammu &amp; Kashmir","Pulwama","4","2.74"
"West Bengal","West Medinipur","2","0"
"West Bengal","hooghly","3","0"
"Sikkim","Mangan","3",".14"
"Orissa","Sundergarh","1",".02"
"Jammu &amp; Kashmir","Rajauri","2","1.37"
"Jammu and Kashmir","punch","1","0"
"Rajasthan","Beawar","1","0"
"Uttar Pradesh","Ambedkar Nagar","7847",".78"
"Uttar Pradesh","Azamgarh","20211","2.02"
"Uttar Pradesh","Baghpat","6741",".67"
"Assam","Biswanath","1272",".56"
"Delhi","Central Delhi","3896","4.2"
"Maharashtra","Chandrapur","4434","1.22"
"Gujarat","Chhotaudepur","4066","1.48"
"Uttarakhand","Dehradun","9365","25.34"
"Gujarat","Gir Somnath","5672","2.06"
"Assam","Goalpara","9714","4.31"
"Uttar Pradesh","Gorakhpur","19675","1.96"
"Gujarat","Kachchh","9081","3.3"
"Karnataka","Kalaburagi","4734","2.16"
"Uttar Pradesh","Kheri","24274","2.42"
"West Bengal","Kolkata","10205","2.76"
"Rajasthan","Kota","7376","2.15"
"Maharashtra","Latur","7482","2.05"
"Nagaland","Longleng","886","5.74"
"Assam","Marigaon","10282","4.56"
"Uttar Pradesh","Meerut","23606","2.35"
"Uttar Pradesh","Moradabad","21436","2.14"
"Maharashtra","Nanded","11790","3.23"
"Maharashtra","Nandurbar","10461","2.87"
"Maharashtra","Palghar","10562","2.9"
"Uttar Pradesh","Pilibhit","13423","1.34"
"Bihar","Purnia","19593","3.3"
"Maharashtra","Raigad","3399",".93"
"Bihar","Sitamarhi","41652","7.02"
"Sikkim","South Sikkim","459","21.08"
"Gujarat","Surat","24947","9.07"
"Tamil Nadu","Thanjavur","7257","3.35"
"Bihar","Vaishali","17448","2.94"
"Delhi","West Delhi","19298","20.79"
"Meghalaya","West Garo Hills","15799","14.45"
"Bihar","Arwal","3749",".63"
"Uttar Pradesh","Ghaziabad","22654","2.26"
"Uttar Pradesh","Hapur","7185",".72"
"Haryana","Mewat","7262","7.64"
"Tamil Nadu","Pudukkottai","6929","3.2"
"Maharashtra","Washim","3333",".91"
"Karnataka","Bengaluru Urban","23074","10.51"
"The Dadra And Nagar Haveli And Daman And Diu","Dadra And Nagar Haveli","716","100"
"Assam","Dima Hasao","248",".11"
"Chhattisgarh","Gaurella Pendra Marwahi","983",".99"
"Haryana","Panipat","6011","6.32"
"Bihar","Pashchim Champaran","16358","2.76"
"Karnataka","Raichur","9567","4.36"
"Tamil Nadu","Ramanathapuram","3913","1.81"
"Tamil Nadu","Sivaganga","4386","2.02"
"Haryana","Sonipat","4524","4.76"
"Madhya Pradesh","Balaghat","6666","1.36"
"Chhattisgarh","Bilaspur","8708","8.73"
"Tamil Nadu","Chennai","9893","4.57"
"Jammu And Kashmir","Doda","538","56.63"
"Jharkhand","East Singhbum","1447",".94"
"West Bengal","Hooghly","14998","4.06"
"Meghalaya","Kamrup","143",".13"
"Uttar Pradesh","Kushi Nagar","1570",".16"
"Nagaland","Mokokchung","490","3.17"
"Bihar","Nawada","15048","2.53"
"Punjab","Tarn Taran","2905","3.83"
"Madhya Pradesh","Agar Malwa","2526",".52"
"Madhya Pradesh","Anuppur","3181",".65"
"Jammu and Kashmir","Bandipore","1601","3.44"
"West Bengal","Bankura","11026","2.99"
"Karnataka","Belagavi","7638","3.48"
"Odisha","Bhadrak","4433","3.79"
"Maharashtra","Bhandara","1867",".51"
"Maharashtra","Bid","560",".15"
"Uttar Pradesh","Chitrakoot","5286",".53"
"Rajasthan","Chittaurgarh","344",".1"
"Dadra and Nagar Haveli","Dadra and Nagar Haveli","738","100"
"Tamil Nadu","Dharmapuri","5591","2.58"
"Odisha","Dhenkanal","2838","2.43"
"Jammu and Kashmir","Doda","3883","8.34"
"Punjab","Faridkot","893","1.18"
"Punjab","Fatehgarh Sahib","1034","1.36"
"WEST BENGAL","HOOGHLY","4","100"
"Karnataka","Hassan","2457","1.12"
"Andhra Pradesh","Hyderabad","4708","3.79"
"Telangana","Jagitial","1553","1.2"
"Manipur","Jiribam","145","1.09"
"Andhra Pradesh","K.V.Rangareddy","67",".05"
"Chhattisgarh","Kabeerdham","917",".92"
