"DISTRICT","STATE","CHILDREN","WORKING_AGE","DEPENDENTS_PER_ADULT"
"Ananthapur","Andhra Pradesh","13","2","6.5"
"Ananthapur","Andhra Pradesh","13","2","6.5"
"Thanjavur","Tamil Nadu","13","2","6.5"
"Villupuram","Tamil Nadu","38","6","6.33"
"K.v. Rangareddy","Telangana","6","1","6"
"Mamit","Mizoram","6","1","6"
"Mahabubnagar","Telangana","6","1","6"
"Tirunelveli","Tamil Nadu","6","1","6"
"Tirunelveli","Tamil Nadu","6","1","6"
"Villupuram","Tamil Nadu","6","1","6"
"Khandwa","Madhya Pradesh","6","1","6"
"Baleswar","Odisha","6","1","6"
"Mahabubnagar","Telangana","6","1","6"
"Ananthapur","Andhra Pradesh","6","1","6"
"Valsad","Gujarat","6","1","6"
"Tirunelveli","Tamil Nadu","6","1","6"
"Coimbatore","Tamil Nadu","6","1","6"
"Tirunelveli","Tamil Nadu","6","1","6"
"Namakkal","Tamil Nadu","6","1","6"
"Srikakulam","Andhra Pradesh","6","1","6"
"Ananthapur","Andhra Pradesh","6","1","6"
"Madurai","Tamil Nadu","6","1","6"
"Namakkal","Tamil Nadu","6","1","6"
"Tirunelveli","Tamil Nadu","6","1","6"
"Rangareddi","Andhra Pradesh","6","1","6"
"Chittoor","Andhra Pradesh","6","1","6"
"Villupuram","Tamil Nadu","6","1","6"
"Tirunelveli","Tamil Nadu","6","1","6"
"Kurnool","Andhra Pradesh","6","1","6"
"Valsad","Gujarat","6","1","6"
"Tirunelveli","Tamil Nadu","6","1","6"
"Rajouri","Jammu and Kashmir","6","1","6"
"The Dangs","Gujarat","6","1","6"
"Thanjavur","Tamil Nadu","6","1","6"
"Khammam","Andhra Pradesh","6","1","6"
"Ananthapur","Andhra Pradesh","6","1","6"
"Chittoor","Andhra Pradesh","6","1","6"
"Tirunelveli","Tamil Nadu","6","1","6"
"Guntur","Andhra Pradesh","6","1","6"
"Anantapur","Andhra Pradesh","6","1","6"
"Srikakulam","Andhra Pradesh","6","1","6"
"Champhai","Mizoram","6","1","6"
"Tirunelveli","Tamil Nadu","6","1","6"
"Jhalawar","Rajasthan","6","1","6"
"Erode","Tamil Nadu","6","1","6"
"Tirunelveli","Tamil Nadu","6","1","6"
"Karaikal","Puducherry","12","2","6"
"Karaikal","Puducherry","12","2","6"
"Ratnagiri","Maharashtra","6","1","6"
"Namakkal","Tamil Nadu","6","1","6"
"Namakkal","Tamil Nadu","6","1","6"
"Bhavnagar","Gujarat","6","1","6"
"Dadra and Nagar Haveli","Dadra and Nagar Haveli","6","1","6"
"Namakkal","Tamil Nadu","6","1","6"
"Baleswar","Odisha","6","1","6"
"Medak","Telangana","6","1","6"
"Tirunelveli","Tamil Nadu","6","1","6"
"Kanniyakumari","Tamil Nadu","6","1","6"
"Ananthapur","Andhra Pradesh","6","1","6"
"Valsad","Gujarat","6","1","6"
"Villupuram","Tamil Nadu","6","1","6"
"Malkangiri","Odisha","6","1","6"
"Kancheepuram","Tamil Nadu","6","1","6"
"Karaikal","Puducherry","6","1","6"
"Srikakulam","Andhra Pradesh","6","1","6"
"Ananthapur","Andhra Pradesh","6","1","6"
"Tiruvannamalai","Tamil Nadu","6","1","6"
"Tirunelveli","Tamil Nadu","6","1","6"
"Jaipur","Rajasthan","6","1","6"
"Kurnool","Andhra Pradesh","6","1","6"
"Namakkal","Tamil Nadu","6","1","6"
"Namakkal","Tamil Nadu","6","1","6"
"Ananthapur","Andhra Pradesh","6","1","6"
"Chittoor","Andhra Pradesh","6","1","6"
"Mahabubnagar","Telangana","6","1","6"
"Tirunelveli","Tamil Nadu","6","1","6"
"Tirunelveli","Tamil Nadu","6","1","6"
"Tirunelveli","Tamil Nadu","6","1","6"
"Ananthapur","Andhra Pradesh","6","1","6"
"Valsad","Gujarat","6","1","6"
"Tirunelveli","Tamil Nadu","6","1","6"
"Mahabubnagar","Telangana","6","1","6"
"Srikakulam","Andhra Pradesh","6","1","6"
"Anantapur","Andhra Pradesh","6","1","6"
"Namakkal","Tamil Nadu","6","1","6"
"Khammam","Telangana","6","1","6"
"Villupuram","Tamil Nadu","6","1","6"
"Rangareddi","Andhra Pradesh","6","1","6"
"Ananthapur","Andhra Pradesh","6","1","6"
"Ananthapur","Andhra Pradesh","6","1","6"
"Kanniyakumari","Tamil Nadu","6","1","6"
"Mahbubnagar","Andhra Pradesh","6","1","6"
"Namakkal","Tamil Nadu","6","1","6"
"Mahbubnagar","Andhra Pradesh","6","1","6"
"Namakkal","Tamil Nadu","28","5","5.6"
"Ananthapur","Andhra Pradesh","11","2","5.5"
"Dindigul","Tamil Nadu","11","2","5.5"
"Kanniyakumari","Tamil Nadu","11","2","5.5"
"Mandi","Himachal Pradesh","11","2","5.5"
"Ananthapur","Andhra Pradesh","22","4","5.5"
"Prakasam","Andhra Pradesh","11","2","5.5"
"Ananthapur","Andhra Pradesh","11","2","5.5"
"Tiruchirappalli","Tamil Nadu","16","3","5.33"
"Nagapattinam","Tamil Nadu","15","3","5"
"Anantapur","Andhra Pradesh","5","1","5"
"Sundergarh","Odisha","5","1","5"
"Tiruvannamalai","Tamil Nadu","5","1","5"
"Mahabubnagar","Telangana","5","1","5"
"Ananthapur","Andhra Pradesh","5","1","5"
"Chennai","Tamil Nadu","5","1","5"
"Khammam","Andhra Pradesh","5","1","5"
"Kurnool","Andhra Pradesh","5","1","5"
"Prakasam","Andhra Pradesh","5","1","5"
"Ramban","Jammu and Kashmir","5","1","5"
"Madurai","Tamil Nadu","5","1","5"
"Arvalli","Gujarat","5","1","5"
"Mahabubnagar","Telangana","5","1","5"
"Ganjam","Odisha","5","1","5"
"Belgaum","Karnataka","5","1","5"
"Imphal East","Manipur","5","1","5"
"Ananthapur","Andhra Pradesh","5","1","5"
"East Godavari","Andhra Pradesh","5","1","5"
"Villupuram","Tamil Nadu","5","1","5"
"Jaipur","Rajasthan","5","1","5"
"Anantapur","Andhra Pradesh","5","1","5"
"Ananthapur","Andhra Pradesh","5","1","5"
"Villupuram","Tamil Nadu","5","1","5"
"Thoothukkudi","Tamil Nadu","5","1","5"
"Mahabubnagar","Telangana","5","1","5"
"Ananthapur","Andhra Pradesh","5","1","5"
"Ananthapur","Andhra Pradesh","5","1","5"
"Ananthapur","Andhra Pradesh","5","1","5"
"Ananthapur","Andhra Pradesh","5","1","5"
"Ananthapur","Andhra Pradesh","5","1","5"
"Guntur","Andhra Pradesh","5","1","5"
"Thanjavur","Tamil Nadu","5","1","5"
"Karimnagar","Telangana","5","1","5"
"Visakhapatnam","Andhra Pradesh","5","1","5"
"Perambalur","Tamil Nadu","5","1","5"
"Cuddapah","Andhra Pradesh","5","1","5"
"Warangal","Telangana","5","1","5"
"Ananthapur","Andhra Pradesh","5","1","5"
"Ananthapur","Andhra Pradesh","5","1","5"
"Thanjavur","Tamil Nadu","15","3","5"
"Mahabubnagar","Telangana","5","1","5"
"Yadgir","Karnataka","5","1","5"
"Villupuram","Tamil Nadu","5","1","5"
"Pudukkottai","Tamil Nadu","5","1","5"
"East Delhi","Delhi","5","1","5"
"Mahabubnagar","Telangana","5","1","5"
"Mahabubnagar","Telangana","5","1","5"
"Puruliya","West Bengal","5","1","5"
"Kangra","Himachal Pradesh","10","2","5"
"Thanjavur","Tamil Nadu","5","1","5"
"The Nilgiris","Tamil Nadu","20","4","5"
"Kurnool","Andhra Pradesh","5","1","5"
"Koppal","Karnataka","5","1","5"
"East Godavari","Andhra Pradesh","5","1","5"
"Srikakulam","Andhra Pradesh","5","1","5"
"West Godavari","Andhra Pradesh","5","1","5"
"Anantapur","Andhra Pradesh","5","1","5"
"Una","Himachal Pradesh","5","1","5"
"Mahabubnagar","Telangana","5","1","5"
"Pudukkottai","Tamil Nadu","5","1","5"
"Mahbubnagar","Andhra Pradesh","5","1","5"
"Villupuram","Tamil Nadu","5","1","5"
"Kanniyakumari","Tamil Nadu","5","1","5"
"Medak","Telangana","5","1","5"
"Cooch Behar","West Bengal","5","1","5"
"Madurai","Tamil Nadu","5","1","5"
"Sivaganga","Tamil Nadu","5","1","5"
"Kangra","Himachal Pradesh","5","1","5"
"Srikakulam","Andhra Pradesh","5","1","5"
"Visakhapatnam","Andhra Pradesh","5","1","5"
"Prakasam","Andhra Pradesh","5","1","5"
"Balangir","Odisha","5","1","5"
"Villupuram","Tamil Nadu","5","1","5"
"Namakkal","Tamil Nadu","5","1","5"
"Kanniyakumari","Tamil Nadu","5","1","5"
"Ananthapur","Andhra Pradesh","10","2","5"
"Nalgonda","Telangana","5","1","5"
"Ananthapuramu","Andhra Pradesh","5","1","5"
"Mahabubnagar","Telangana","5","1","5"
"Ramanathapuram","Tamil Nadu","5","1","5"
"Kanniyakumari","Tamil Nadu","5","1","5"
"Jamnagar","Gujarat","5","1","5"
"Dindigul","Tamil Nadu","5","1","5"
"Karaikal","Puducherry","10","2","5"
"Valsad","Gujarat","5","1","5"
"Namakkal","Tamil Nadu","5","1","5"
"Cuddalore","Tamil Nadu","5","1","5"
"Bapatla","Andhra Pradesh","5","1","5"
"Chamba","Himachal Pradesh","5","1","5"
"Guntur","Andhra Pradesh","5","1","5"
"Mahabubnagar","Telangana","5","1","5"
"Krishnagiri","Tamil Nadu","5","1","5"
"The Nilgiris","Tamil Nadu","15","3","5"
"The Nilgiris","Tamil Nadu","5","1","5"
"Annamayya","Andhra Pradesh","5","1","5"
"Chittoor","Andhra Pradesh","5","1","5"
"Jajapur","Odisha","5","1","5"
"Namakkal","Tamil Nadu","5","1","5"
"Guntur","Andhra Pradesh","5","1","5"
"Pudukkottai","Tamil Nadu","5","1","5"
"Guntur","Andhra Pradesh","5","1","5"
"Mahbubnagar","Andhra Pradesh","5","1","5"
"Jagatsinghapur","Odisha","5","1","5"
"Mahabubnagar","Telangana","5","1","5"
"Kurnool","Andhra Pradesh","5","1","5"
"Ananthapur","Andhra Pradesh","5","1","5"
"Karimnagar","Telangana","5","1","5"
"Ananthapur","Andhra Pradesh","5","1","5"
"Mahabubnagar","Telangana","5","1","5"
"Pudukkottai","Tamil Nadu","5","1","5"
"Villupuram","Tamil Nadu","5","1","5"
"Kurnool","Andhra Pradesh","5","1","5"
"Srikakulam","Andhra Pradesh","5","1","5"
"Visakhapatnam","Andhra Pradesh","5","1","5"
"Kangra","Himachal Pradesh","5","1","5"
"Kanniyakumari","Tamil Nadu","5","1","5"
"Namakkal","Tamil Nadu","5","1","5"
"Kanniyakumari","Tamil Nadu","5","1","5"
"Ajmer","Rajasthan","5","1","5"
"Mahabubnagar","Telangana","5","1","5"
"Sivaganga","Tamil Nadu","5","1","5"
"Gajapati","Odisha","5","1","5"
"Chittoor","Andhra Pradesh","5","1","5"
"Ariyalur","Tamil Nadu","5","1","5"
"Kangra","Himachal Pradesh","10","2","5"
"Krishnagiri","Tamil Nadu","5","1","5"
"Mahabubnagar","Telangana","5","1","5"
"The Nilgiris","Tamil Nadu","15","3","5"
"Mahabubnagar","Telangana","5","1","5"
"Tirunelveli","Tamil Nadu","5","1","5"
"Ananthapur","Andhra Pradesh","5","1","5"
"Dakshin Bastar Dantewada","Chhattisgarh","5","1","5"
"Warangal","Telangana","5","1","5"
"Puruliya","West Bengal","5","1","5"
"Kullu","Himachal Pradesh","5","1","5"
"Alwar","Rajasthan","5","1","5"
"Guntur","Andhra Pradesh","5","1","5"
"Ananthapur","Andhra Pradesh","5","1","5"
"Bandipore","Jammu and Kashmir","5","1","5"
"Namakkal","Tamil Nadu","5","1","5"
"Anantapur","Andhra Pradesh","5","1","5"
"Kanniyakumari","Tamil Nadu","5","1","5"
"Sikar","Rajasthan","5","1","5"
"Srikakulam","Andhra Pradesh","5","1","5"
"West Godavari","Andhra Pradesh","5","1","5"
"Anantapur","Andhra Pradesh","5","1","5"
"East Godavari","Andhra Pradesh","5","1","5"
"Tirunelveli","Tamil Nadu","15","3","5"
"Mahabubnagar","Telangana","5","1","5"
"Ramban","Jammu and Kashmir","5","1","5"
"Villupuram","Tamil Nadu","5","1","5"
"Kanniyakumari","Tamil Nadu","5","1","5"
"Cuddalore","Tamil Nadu","5","1","5"
"Nellore","Andhra Pradesh","5","1","5"
"Jajapur","Odisha","5","1","5"
"Hamirpur","Uttar Pradesh","5","1","5"
"Ananthapur","Andhra Pradesh","5","1","5"
"Mahbubnagar","Andhra Pradesh","5","1","5"
"Mahabubnagar","Telangana","5","1","5"
"Mahabubnagar","Telangana","5","1","5"
"Mahabubnagar","Telangana","5","1","5"
"Mahabubnagar","Telangana","5","1","5"
"Villupuram","Tamil Nadu","5","1","5"
"Villupuram","Tamil Nadu","10","2","5"
"Karimnagar","Telangana","5","1","5"
"Nagapattinam","Tamil Nadu","15","3","5"
"Kurnool","Andhra Pradesh","5","1","5"
"Ananthapur","Andhra Pradesh","5","1","5"
"Balangir","Odisha","5","1","5"
"Thanjavur","Tamil Nadu","5","1","5"
"Chittoor","Andhra Pradesh","5","1","5"
"East Godavari","Andhra Pradesh","5","1","5"
"Hyderabad","Andhra Pradesh","5","1","5"
"Srikakulam","Andhra Pradesh","5","1","5"
"Nalgonda","Telangana","5","1","5"
"Ananthapur","Andhra Pradesh","10","2","5"
"Ananthapur","Andhra Pradesh","5","1","5"
"Dindigul","Tamil Nadu","5","1","5"
"Tiruchirappalli","Tamil Nadu","5","1","5"
"Villupuram","Tamil Nadu","5","1","5"
"Arvalli","Gujarat","5","1","5"
"Madurai","Tamil Nadu","5","1","5"
"Valsad","Gujarat","5","1","5"
"Jamnagar","Gujarat","5","1","5"
"Dindigul","Tamil Nadu","5","1","5"
"Anantapur","Andhra Pradesh","5","1","5"
"Mahabubnagar","Telangana","14","3","4.67"
"Perambalur","Tamil Nadu","14","3","4.67"
"Perambalur","Tamil Nadu","14","3","4.67"
"Mahabubnagar","Telangana","14","3","4.67"
"Chittoor","Andhra Pradesh","9","2","4.5"
"Pudukkottai","Tamil Nadu","9","2","4.5"
"Mahabubnagar","Telangana","9","2","4.5"
"Srikakulam","Andhra Pradesh","9","2","4.5"
"Perambalur","Tamil Nadu","9","2","4.5"
"Guntur","Andhra Pradesh","9","2","4.5"
"Thiruvarur","Tamil Nadu","9","2","4.5"
"Srikakulam","Andhra Pradesh","9","2","4.5"
"Dewas","Madhya Pradesh","9","2","4.5"
"Tirunelveli","Tamil Nadu","9","2","4.5"
"Srikakulam","Andhra Pradesh","9","2","4.5"
"Mahabubnagar","Telangana","9","2","4.5"
"Tirunelveli","Tamil Nadu","9","2","4.5"
"Dewas","Madhya Pradesh","9","2","4.5"
"Villupuram","Tamil Nadu","9","2","4.5"
"Srikakulam","Andhra Pradesh","9","2","4.5"
"Guntur","Andhra Pradesh","9","2","4.5"
"Gomati","Tripura","13","3","4.33"
"Dharmapuri","Tamil Nadu","13","3","4.33"
"Villupuram","Tamil Nadu","13","3","4.33"
"Thanjavur","Tamil Nadu","21","5","4.2"
"Thanjavur","Tamil Nadu","21","5","4.2"
"Kancheepuram","Tamil Nadu","4","1","4"
"Tiruvannamalai","Tamil Nadu","4","1","4"
"Kanniyakumari","Tamil Nadu","4","1","4"
"Hyderabad","Andhra Pradesh","4","1","4"
"Virudhunagar","Tamil Nadu","4","1","4"
"Medchal-malkajgiri","Telangana","4","1","4"
"Namakkal","Tamil Nadu","4","1","4"
"Tirunelveli","Tamil Nadu","4","1","4"
"Bhadradri Kothagudem","Telangana","4","1","4"
"Thoothukkudi","Tamil Nadu","4","1","4"
"Bagalkot *","Karnataka","4","1","4"
"Thanjavur","Tamil Nadu","4","1","4"
"Kozhikode","Kerala","4","1","4"
"Gadag","Karnataka","4","1","4"
"Koriya","Chhattisgarh","4","1","4"
"Erode","Tamil Nadu","4","1","4"
"Charkhi Dadri","Haryana","4","1","4"
"Virudhunagar","Tamil Nadu","4","1","4"
"Krishna","Andhra Pradesh","4","1","4"
"Krishna","Andhra Pradesh","4","1","4"
"Sri Potti Sriramulu Nellore","Andhra Pradesh","4","1","4"
"Dharwad","Karnataka","4","1","4"
"Thanjavur","Tamil Nadu","8","2","4"
"Tirunelveli","Tamil Nadu","16","4","4"
"Bageshwar","Uttarakhand","4","1","4"
"Kallakurichi","Tamil Nadu","4","1","4"
"Kargil","Jammu and Kashmir","4","1","4"
"Kangra","Himachal Pradesh","4","1","4"
"Mahabubnagar","Telangana","4","1","4"
"Kandhamal","Odisha","4","1","4"
"Villupuram","Tamil Nadu","4","1","4"
"Ariyalur","Tamil Nadu","4","1","4"
"Villupuram","Tamil Nadu","4","1","4"
"West Karbi Anglong","Assam","4","1","4"
"Jajapur","Odisha","4","1","4"
"Ballari","Karnataka","4","1","4"
"Kalimpong","West Bengal","4","1","4"
"Krishna","Andhra Pradesh","4","1","4"
"Srikakulam","Andhra Pradesh","4","1","4"
"Virudhunagar","Tamil Nadu","4","1","4"
"East Godavari","Andhra Pradesh","4","1","4"
"Tiruchirappalli","Tamil Nadu","4","1","4"
"Ganjam","Odisha","4","1","4"
"Pudukkottai","Tamil Nadu","4","1","4"
"Nizamabad","Telangana","4","1","4"
"Vellore","Tamil Nadu","4","1","4"
"Warangal","Telangana","4","1","4"
"Anantapur","Andhra Pradesh","4","1","4"
"Daman","Daman and Diu","4","1","4"
"Khammam","Andhra Pradesh","4","1","4"
"Ananthapur","Andhra Pradesh","4","1","4"
"Villupuram","Tamil Nadu","4","1","4"
"Tapi","Gujarat","4","1","4"
"Ballari","Karnataka","4","1","4"
"Mahabubnagar","Telangana","4","1","4"
"Shajapur","Madhya Pradesh","4","1","4"
"Ananthapuramu","Andhra Pradesh","4","1","4"
"Virudhunagar","Tamil Nadu","4","1","4"
"Shivamogga","Karnataka","4","1","4"
"Tiruchirappalli","Tamil Nadu","4","1","4"
"Visakhapatnam","Andhra Pradesh","4","1","4"
"Thanjavur","Tamil Nadu","4","1","4"
"The Nilgiris","Tamil Nadu","4","1","4"
"Tiruvannamalai","Tamil Nadu","4","1","4"
"Ramanathapuram","Tamil Nadu","4","1","4"
"Mahabubnagar","Telangana","4","1","4"
"Prakasam","Andhra Pradesh","8","2","4"
"Jagatsinghapur","Odisha","4","1","4"
"Cuddapah","Andhra Pradesh","4","1","4"
"Ananthapur","Andhra Pradesh","12","3","4"
"Kanyakumari","Tamil Nadu","4","1","4"
"Puducherry","Puducherry","4","1","4"
"Annamayya","Andhra Pradesh","4","1","4"
"Gopalganj","Bihar","4","1","4"
"Madurai","Tamil Nadu","4","1","4"
"Angul","Odisha","4","1","4"
"Tirunelveli","Tamil Nadu","4","1","4"
"Kurnool","Andhra Pradesh","8","2","4"
"Rangareddi","Andhra Pradesh","4","1","4"
"Sri Sathya Sai","Andhra Pradesh","4","1","4"
"Anantapur","Andhra Pradesh","4","1","4"
"Chittoor","Andhra Pradesh","4","1","4"
"Srikakulam","Andhra Pradesh","4","1","4"
"Mahabubnagar","Telangana","8","2","4"
"Warangal","Telangana","4","1","4"
"Jammu","Jammu and Kashmir","4","1","4"
"Ananthapur","Andhra Pradesh","8","2","4"
